"Country","Population","Region","Happiness Score","Economy (GDP per capita)","Social support","Health (life expectancy)","Freedom to make life choices","Generosity","Perceptions of corruption","Life expectancy","Suicide rate (100,000)"
"Tajikistan","9321018","Central and Eastern Europe","5.467","0.493","1.098","0.718","0.389","0.23","0.144","71.097","228"
"Tanzania","58005463","Sub-Saharan Africa","3.231","0.476","0.885","0.499","0.417","0.276","0.147","65.456","0"
"Thailand","69625582","Southeastern Asia","6.008","1.05","1.409","0.828","0.557","0.359","0.028","77.15","9998"
"Togo","8082366","Sub-Saharan Africa","4.085","0.275","0.572","0.41","0.293","0.177","0.085","61.042","757"
"Trinidad & Tobago","1394973","Latin America and Caribbean","6.192","1.231","1.477","0.713","0.489","0.185","0.016","73.507","189"
"Tunisia","11694719","Middle East and Northern Africa","4.461","0.921","1","0.815","0.167","0.059","0.055","76.699","393"
"Turkey","83429615","Middle East and Northern Africa","5.373","1.183","1.36","0.808","0.195","0.083","0.106","77.691","6011"
"Turkmenistan","5942089","Central and Eastern Europe","5.247","1.052","1.538","0.657","0.394","0.244","0.028","68.191","392"
"Uganda","44269594","Sub-Saharan Africa","4.189","0.332","1.069","0.443","0.356","0.252","0.06","63.368","4230"
"Ukraine","44385155","Central and Eastern Europe","4.332","0.82","1.39","0.739","0.178","0.187","0.01","72.065","9911"
"United Arab Emirates","9770529","Middle East and Northern Africa","6.825","1.503","1.31","0.825","0.598","0.262","0.182","77.972","270"
"United Kingdom","66834405","Western Europe","7.054","1.333","1.538","0.996","0.45","0.348","0.278","81.321","0"
"United States","328239523","North America","6.892","1.433","1.457","0.874","0.454","0.28","0.128","78.862","0"
"Uruguay","3461734","Latin America and Caribbean","6.293","1.124","1.465","0.891","0.523","0.127","0.15","77.911","635"
"Uzbekistan","33580650","Central and Eastern Europe","6.174","0.745","1.529","0.756","0.631","0.322","0.24","71.725","2403"
"Venezuela","28515829","Latin America and Caribbean","4.707","0.96","1.427","0.805","0.154","0.064","0.047","72.064","0"
"Vietnam","96462106","Southeastern Asia","5.175","0.741","1.346","0.851","0.543","0.147","0.073","75.4","0"
"Yemen","29161922","Middle East and Northern Africa","3.38","0.287","1.163","0.463","0.143","0.108","0.077","66.125","2422"
"Zambia","17861030","Sub-Saharan Africa","4.107","0.578","1.058","0.426","0.431","0.247","0.087","63.886","1058"
"Zimbabwe","14645468","Sub-Saharan Africa","3.663","0.366","1.114","0.433","0.361","0.151","0.089","61.49","1545"
